news_headline,news_article,news_category
GTA maker Take-Two to buy FarmVille creator Zynga in a $12.7 billion deal,"Take-Two Interactive, the video game maker behind Grand Theft Auto, will acquire mobile gaming company Zynga in a cash-and-stock deal worth nearly $12.7 billion. Take-Two will acquire all outstanding shares of Zynga at a 64% premium to the company's closing price on Friday. Shares of FarmVille maker Zynga rose about 50% in US pre-market trading after the announcement.",technology
Smart door with motion-activated lighting & smart lock unveiled by US firm,"US-based company Masonite has unveiled its 'M-Pwr' smart door which comes with motion-activated lighting, a built-in Ring doorbell camera and a smart door lock. The door connects to a home's electrical system and Wi-Fi network and can keep working for 24 hours in case of a power outage. All the items in the smart door are upgradable with evolving technology.",technology
Binance CEO richer than Mukesh Ambani with $96 billion wealth: Bloomberg,"Cryptocurrency exchange Binance's CEO Changpeng Zhao is the world's richest cryptocurrency entrepreneur with $96 billion wealth, Bloomberg said after estimating his net worth for the first time. It added that the 44-year-old is richer than Asia's richest person Mukesh Ambani, whose current net worth is $92.9 billion. Zhao is a former McDonald's employee and software developer.",technology
Apple App Store developers earn $60 billion in 'new yearly record',"iPhone maker Apple said that it has now paid over $260 billion to app developers since the App Store first launched in 2008, up from the $200 billion Apple reported at the end of 2020. This means that in 2021 alone, Apple paid developers $60 billion. The number set a ""new yearly record"" for App Store developer earnings, Apple added.",technology
WhatsApp Co-founder Brian Acton named WhatsApp rival Signal's interim CEO,"WhatsApp Co-founder Brian Acton will act as the interim CEO of WhatsApp's rival app Signal after its Founder and CEO Moxie Marlinspike will step down from his position. ""It's a new year, and I've decided it's a good time to replace myself as the CEO,"" Marlinspike said announcing his decision. However, Marlinspike will remain on Signal's board.",technology
"Meta mandates booster shots for US staff, delays office reopening","Facebook-parent Meta has delayed its US office reopening date and mandated COVID-19 booster shots for employees returning to office. The reopening date has been delayed to March 28 from January 31. Employees have until March 14 to opt for return to the office. ""Employees who take no action can face disciplinary measures, including termination,"" a Meta spokesperson said.

",technology
Google accuses Apple of 'bullying' with its blue and green iMessage bubbles,"Google accused Apple of profiting from ""bullying"" after a WSJ report pointed out that some youngsters feel the social pressure to own iPhones to use iMessage. When iPhone users exchange messages using iMessage, they appear in blue bubbles, whereas messages sent to iPhones from Android phones appear in green. ""iMessage should not benefit from bullying,"" Android's official Twitter handle tweeted.",technology
Meta leases half of Austin's tallest skyscraper set to open in 2023,"Facebook's parent company Meta has leased half of what will be Austin's tallest skyscraper, Bloomberg confirmed. The company is leasing 5,89,000 square feet across 33 floors, which accounts for the entire commercial half of the 66-storey tower, a company spokesperson said. The tower, known as Sixth and Guadalupe, is currently under construction and is scheduled to open in 2023.",technology
"Techies getting lazy with high salaries, not upping their game: BharatPe MD","BharatPe's Co-founder and MD Ashneer Grover said, ""The amount of salary the tech guys are getting paid is making them lazy. They're not thinking of evolving themselves into product managers or becoming more relevant, or upping their game."" He was speaking at the Wharton India Economic Forum last week. Grover added that new-age companies are overestimating their tech-hiring requirements.",technology
"Swiss Army bans WhatsApp, Signal, Telegram citing privacy concerns","The Swiss army has banned the use of foreign instant messaging services like WhatsApp, Signal and Telegram for official communications by army personnel. The decision was announced last month, citing privacy concerns based on the ability of US authorities to access data. A spokesperson for the army said that troops have been recommended to use Swiss instant messaging service Threema.",technology
CCI to seek report on Google's payment policy from app makers: Report,"The Competition Commission of India (CCI) will seek a comprehensive report from app developers mentioning the impact of Google's upcoming payment policy on their balance sheet, ET reported. It will reportedly ask developers to suggest an alternative payment method. The CCI is currently probing Google's alleged unfair business practices in connection with Google Pay and Play Store payment system.",technology
Facebook sued by sister of US officer killed in racial justice protests,"Facebook parent Meta has been sued by the sister of a security officer who was murdered during racial justice protests in the US in 2020. Angela Underwood Jacobs has claimed that Facebook bears responsibility for her brother's death. ""Facebook knowingly promoted inflammatory and violent content and connected extremists who plotted and carried out the killing of my brother,"" she added.",technology
Pakistan's FIA sends notice to Binance in alleged $100 million scam,"Pakistan's Federal Investigation Agency (FIA) has issued a notice to one of the world's largest cryptocurrency exchanges Binance in connection with an alleged scam worth $100 million. The FIA said many citizens reached out in December alleging several apps had stopped working and defrauded them of billions of rupees. ""We are working with FIA to resolve these issues,"" Binance said.",technology
Intel deletes reference to Xinjiang in letter to suppliers after backlash,"Intel has deleted references to Xinjiang from an annual letter to suppliers after it faced a backlash in China for asking suppliers to avoid the region. The letter now reads that the company prohibits ""any human trafficked or involuntary labour such as forced, debt bonded, prison, indentured, or slave labour throughout your extended supply chains"", media reports said.",technology
"Workers to return to Foxconn's TN plant gradually, says Apple","Apple on Monday said that workers will return to work gradually at its Foxconn's plant at Sriperumbudur near Tamil Nadu's Chennai. Earlier, the state's CM MK Stalin had said that the Foxconn plant will resume operations on January 12, initially with 500 workers. The plant was shut last month after a food poisoning incident affected over 200 workers.",technology
Panasonic says hackers accessed personal data of job candidates,"Panasonic has confirmed that hackers accessed personal information belonging to job candidates and interns during a cyberattack on it in November. The firm is notifying the affected people. Panasonic also confirmed that the data breach, which began on June 22 and ended on November 3, saw the hackers obtain files containing unspecified ""business-related information"" provided by business partners.",technology
ED attaches assets worth ₹36 crore in 'Morris Coin' crypto case,"The Enforcement Directorate has attached assets of a Kerala-based businessman and his associates worth ₹36.72 crore under PMLA, 2002, in a cheating case. The accused had allegedly cheated 900 investors of ₹1,200 crore under the guise of offering 'Morris coin' cryptocurrency. The attached assets include balances in multiple bank accounts, immovable property and INR equivalent of cryptocurrencies.",technology
Software exports of STPI units likely to cross ₹5 lakh cr in FY22: Govt,"Software exports from units registered under the Software Technology Parks of India (STPI) scheme are expected to cross ₹5 lakh crore in FY 2022 despite the spread of Omicron, STPI Director General Arvind Kumar said. He added that due to a ""matured remote working model"", the performance of units registered under the STPI scheme is expected to not be affected.",technology
S**** Deals app creator sent to police custody for 4 days: Police,"The alleged creator of S**** Deals app Aumkareshwar Thakur has been sent to police custody for four days, ANI reported quoting Delhi Police. Thakur, said to be the mastermind in the case, was arrested from Indore by Delhi Police's IFSO Special Cell unit. The 25-year-old completed his undergraduate studies in computer application and runs an IT software company.",technology
Concept vehicles with 90-degree rotating wheels unveiled by Hyundai Mobis,"Hyundai Mobis showcased two mobility concept vehicles with 90-degree rotating wheels at the CES 2022 tech show in Las Vegas. The vehicles feature Hyundai's e-corner module system that integrates steering, braking, suspension and driving systems into one wheel. The system also enables rotating the vehicle in place, changing the direction of the vehicle on narrow roads, and easy parking.",technology
UPI is operational now: NPCI after users report issues with transactions,"The National Payments Corporation of India (NPCI) on Sunday tweeted that Unified Payments Interface (UPI) was operational after facing an ""intermittent technical glitch"". Earlier, several users took to Twitter to report they were unable to make transactions using digital wallets and online payment platforms. ""Regret the inconvenience to UPI users...we are monitoring system closely,"" the NPCI said.",technology
RBI sets up internal fintech department to drive innovation: Reports,"The Reserve Bank of India has set up an internal financial technology department to drive innovation in the sector, ET Now reported. The department was set up ""with a view to give further focus to...innovation in fintech sector in keeping pace with the dynamically changing landscape"", an internal RBI circular dated January 4 reportedly stated.",technology
"Panasonic offers 4-day work week option to staff, allows side jobs","Japanese multinational conglomerate Panasonic Corporation will offer employees an option to work four days a week, CEO Yuki Kusumi said in an investor briefing. Panasonic will also allow employees to take up side jobs or spend time volunteering on their extra days off. Further, employees will be able to work from home when their partners are transferred to other locations.",technology
Fully 3D printed flexible OLED display created by US researchers,"Researchers at the University of Minnesota, Twin Cities, have developed a fully 3D printed flexible organic light-emitting diode (OLED) display. The researchers used a customised printer and combined two methods of 3D printing to produce six layers of display. The prototype is about 1.5 inch wide and has 64 pixels. The researchers claim that every pixel works and displays light.",technology
"Bitcoin falls below $40,000 for the first time in over five months","World's largest cryptocurrency Bitcoin's price fell below $40,000 for the first time in over five months on Monday. Bitcoin fell more than 5% to as low as $39,558, marking the largest decline for the cryptocurrency for a start of the year since at least 2012. Ether, the second largest cryptocurrency, also fell as much as 7.2% to $2,926 on Monday.",technology
