news_headline,news_article,news_category
realme 9 Pro series set to launch in India on Feb 16,"realme announced that as India's first 5G smartphone brand, it's ready to launch realme 9 Pro Series in India on February 16, starting at ₹15,000, including first Pro+ model. It seeks to enable users to 'capture the light' with light shift design and flagship camera in mid-range segment. Counterpoint ranked realme second in Q4 2021 with market share of 17%.",technology
Bill Gates writes a book on how to make COVID-19 the last pandemic,"Microsoft Co-founder Bill Gates has written a book titled 'How to Prevent the Next Pandemic'. ""I believe COVID-19 can be the last pandemic and my book explains why,"" Gates said. ""Every time I read about the latest death toll or hear about someone who lost their job...I can't help but think: We don't have to do this again,"" he added.",technology
Ronaldo becomes the first-ever person to reach 400 mn followers on Instagram,"Manchester United forward Cristiano Ronaldo has become the first-ever person to have 400 million followers on Instagram. According to reports, the Portuguese footballer reached the milestone on February 6, just a day after his 37th birthday. In January 2020, he had hit 200 million followers on Instagram and celebrated the milestone by sharing a video montage of his pictures.",technology
Tesla cannot have a market in India but jobs in China: Govt,"Minister of Heavy Industries Krishan Pal Gurjar said there cannot be a situation where Tesla has a market in India but jobs are created in China. Stating that Tesla is yet to apply for schemes in India, he told the Lok Sabha, ""Our policy is if a company wants to use Indian market, it has to provide jobs to Indians.""",technology
"$3.6 bn in stolen Bitcoin seized in US' biggest-ever financial seizure, couple arrested","The US Department of Justice seized over $3.6 billion in stolen Bitcoin in its largest financial seizure ever and arrested a couple in relation to it. The husband-wife allegedly conspired to launder cryptocurrency stolen during the 2016 hack of Bitfinex, a virtual currency exchange, presently valued at $4.5 billion. A hacker attacked Bitfinex and initiated over 2,000 unauthorised transactions.",technology
Joe Biden acknowledges Tesla as 'US' largest electric vehicle maker'; Musk responds,"US President Joe Biden on Tuesday acknowledged Tesla as the country's ""largest electric vehicle manufacturer"", days after Elon Musk called him a ""damp sock puppet in human form"" for ignoring Tesla. A Twitter user said over 58,000 people signed a petition to ask Biden to ""acknowledge Tesla's EV leadership"". Responding to this, the billionaire said, ""Thanks, this made a difference!""",technology
Beggar hangs QR code around his neck to accept money using mobile wallet in Bihar,"Pictures and videos of a 40-year-old beggar, Raju Patel, using mobile wallets to accept money at Bettiah Railway Station in Bihar have gone viral on social media. Patel can be seen with a QR code of a mobile wallet around his neck. He said that he is inspired by Prime Minister Narendra Modi's Digital India campaign.",technology
"Woman orders Apple's iPhone 13 Pro Max in UK, gets ₹100 hand soap","A UK woman claimed that she received a package with a £1 (around ₹100) bottle of hand soap instead of the new iPhone 13 Pro Max smartphone she ordered online from Sky Mobile for over £1,500. She said Sky Mobile launched an investigation but more than a week on, she's still without a phone. ""It's definitely been stolen,"" she added.",technology
"Amazon more than doubles maximum base salary to $350,000 from $160,000 in US","Amazon is more than doubling the maximum base salary for its US-based technology and corporate employees to $350,000 from $160,000, according to a leaked internal memo seen by Bloomberg. ""This past year has seen a particularly competitive labour market,"" the memo said. Amazon also said it was increasing overall compensation ranges for most jobs globally.",technology
Don't make Instagram Kids app for kids under 13: Religious leaders to Zuckerberg,"Religious leaders including reverends and rabbis have written a letter to Meta CEO Mark Zuckerberg, saying, ""Cease all development of the newly proposed Instagram Kids platform for children under 13."" They said, ""Instagram Kids would prove disastrous for children's spiritual development."" Noting that the company has paused plans for the same, they added, ""Instagram Kids must end permanently.""",technology
