news_headline,news_article,news_category
"Facebook & Instagram block accounts of Army's Chinar Corps, no reason given: Officials","Facebook and Instagram have blocked the accounts of the Indian Army's Chinar Corps. It's over a week but the platforms haven't responded to the official communication in this regard, according to officials. According to an official, the accounts were created to negate the lies and propaganda flowing from across the border and to educate locals about Army's social welfare initiatives.",technology
Comfortable but damaging in long run: CRED Founder Kunal Shah on work from home,"CRED Founder Kunal Shah has said that work from home is comfortable but damaging in the long run. Shah tweeted, ""Impact of WFH on youth is the same as impact of children who study at home."" He added, ""No real bonds. No real social or network skills. Illusion of understanding and learning. No osmosis."" ",technology
"Paul McCartney's notes for 'Hey Jude' song sell as NFT for $76,800","An NFT (non-fungible token) of Paul McCartney's handwritten notes for The Beatles' hit song 'Hey Jude' has been auctioned for $76,800. McCartney wrote the song for Julian Lennon in 1968 to comfort him after his parents John and Cynthia Lennon's divorce. NFTs of an Afghan coat and a black cape worn by Lennon sold for $22,400 and $12,800, respectively.",technology
Tesla got subpoena related to Musk's 2018 tweet from US SEC in Nov,"The US SEC had issued a new subpoena to Tesla in November 2021 over CEO Elon Musk's 2018 tweet about taking the company private, filings revealed. It was issued on November 16, around 10 days after Musk asked his Twitter followers if he should sell 10% of Tesla stake. In 2018, Musk settled an SEC lawsuit over his tweet.",technology
5G network in final development stages in India: Ashwini Vaishnaw,"Communications, Electronics and IT Minister Ashwini Vaishnaw said on Tuesday that 5G network is in its final stages of development in India. ""The country has also developed its own indigenously developed 4G core and radio network...The country is participating today in development of 6G standards,"" Vaishnaw said. He further stated that India Semiconductor Mission has also been launched.",technology
US' NVIDIA abandons $40 bn purchase of UK-based ARM: Reports,"US-based NVIDIA is abandoning its $40 billion purchase of UK's ARM from SoftBank, media reports said citing sources. ARM will opt for an IPO instead of the sale, which would have been worth as much as $80 billion. ARM CEO Simon Segars has resigned, handing the job to President Rene Haas. The resignation is reportedly unrelated to the failed deal.
",technology
Crypto industry seeks revision of 30% tax on crypto transactions,India's cryptocurrency industry seeks to appeal to the Centre to revise the 30% tax on crypto transactions announced by Finance Minister Nirmala Sitharaman. The proposal is being headed by the Blockchain and Crypto Assets Council. WazirX Founder Nischal Shetty also endorsed an online petition on the same lines started by crypto education portal Crypto India's Co-founder Aditya Singh.,technology
Rogan offered $100 mn by Trump-affiliated site to leave Spotify,"Former US President Donald Trump-affiliated site Rumble has offered Joe Rogan $100 million over four years to leave Spotify after one of his podcasts on the platform has drawn a lot of criticism. The company tweeted at Rogan on Monday that it's ""ready to fight alongside"" him. Rogan had apologised after backlash against COVID-19 misinformation on his Spotify podcast.",technology
Apple acquires startup that uses AI for tailor-made music: Report,"Apple has acquired London-based AI Music, that uses artificial intelligence to generate tailor-made music, Bloomberg reported citing sources. The startup had about two dozen employees before the deal. Technology developed by AI Music can create soundtracks using royalty-free music and artificial intelligence to automatically ""shift"" songs based on certain conditions, time, among other things.",technology
70 religious leaders ask Zuckerberg to drop Instagram Kids plans,"Over 70 religious leaders have signed a letter asking Meta CEO Mark Zuckerberg to permanently stop the company's plan for an Instagram version aimed at young users. ""After much meditation and prayer, we assert that social media platforms that target immature brains...and are inspired by profit motives are not a tool for the greater good of children,"" the letter said.",technology
Apple unveils feature to let iPhones accept payments with a tap in US,Apple has unveiled 'Tap to Pay' feature that will allow businesses to accept credit and debit card payments directly on their iPhones with a tap on the device. The feature will not require any additional hardware or payment terminal and it will use near-field communication (NFC) technology. Stripe will be the first payment platform to offer the feature in US.,technology
Amazon's fired US worker's lawsuit alleging discrimination dismissed,"A US judge on Monday dismissed the discrimination lawsuit against Amazon by a fired employee Christian Smalls. The judge rejected Smalls' claim that he was fired because of being Black and opposing discriminatory COVID-19 policies. Amazon had fired Smalls in March 2020, saying he joined a protest at its warehouse on Staten Island despite being on paid quarantine.
",technology
Why is traditional media such relentless hatestream?: Elon Musk,"Tesla CEO Elon Musk in a tweet called the ""traditional media"" a ""relentless hatestream"". He said, ""Most news outlets attempt to answer the question: 'What are the worst things happening on Earth today?'"" He further said that it's hard to find out what is happening in the world without ""being bombarded with news that makes one sad and angry!""",technology
Get out before it eats up your soul: Singer Neil to Spotify staff,"Canadian-American singer-songwriter Neil Young has urged Spotify employees to ""get out of the place before it eats up your soul"". He criticised Spotify CEO and said, ""Daniel Ek is your big problem - not Joe Rogan. Ek pulls the strings."" Young recently pulled his music from Spotify in protest over allegedly misleading information on COVID-19 vaccines on Joe Rogan's podcast. ",technology
"Maha to offer Amazon, Swiggy incentives to electrify their fleets","Maharashtra will offer companies like Amazon, Uber, Swiggy and others, incentives to electrify their delivery fleets ahead of a 2025 target for cleaner air. ""We are trying to be on...earlier side of 2025 and see if companies can get certain more incentives and move sooner,"" state minister Aaditya Thackeray said. The state will be approaching some firms next month.
",technology
"India announce playing XI for 2nd ODI against West Indies, KL Rahul back","West Indies won the toss and elected to bowl first in the second ODI against India in Ahmedabad. West Indies captain Kieron Pollard is not featuring in the match due to a niggle, with Nicholas Pooran leading the side today. India have made one change to their playing XI, with KL Rahul replacing Ishan Kishan. ",sports
"Virat said 'Miyan, nobody will be able to forget what you did in Australia': Siraj","Fast bowler Mohammed Siraj, who finished as India's highest wicket-taker in the 2020-21 Test series against Australia, said that after returning from Australia, Virat Kohli told him, ""What you've done in Australia is unbelievable."" Siraj added, ""[Kohli further said] 'Miyan, nobody will be able to forget what you've done there. Keep at it.'""",sports
"₹5,625-crore Ahmedabad IPL team to be called 'Gujarat Titans'","The Ahmedabad franchise of the Indian Premier League will be called 'Gujarat Titans', the owners announced today. The team along with Lucknow Super Giants will make their debut in the IPL 2022. Gujarat Titans were bought by Irelia Company Pte Ltd (CVC Capital Partners) for ₹5,625 crore. The franchise is yet to unveil its logo.",sports
First bidding war of many in IPL auctions: Auctioneer on MS Dhoni's signing in 2008,"Recalling the 2008 IPL auction, auctioneer Richard Madley termed MS Dhoni's signing by CSK as the first bidding war of many in IPL. MS Dhoni was roped in by CSK for $1.5 million and MI were among the franchises who were part of the bidding war. Ex-CSK owner N Srinivasan had said he was clear at any price for Dhoni.",sports
Maybe I would have never played for India if I were an Indian: AB de Villiers,"Ex-South Africa cricketer AB de Villiers, while speaking on RCB podcast, said, ""Growing up in India would've been interesting."" ""Maybe I would've never played for India...It's tough to make it to the Indian team...you've to be a special player,"" he added. ""I think back on my career at RCB as the most amazing years of my life,"" said De Villiers.",sports
"Cummins breaks silence over Langer's exit, says 'We need a new style of coaching'","Australia Test captain Pat Cummins has broken his silence over controversy surrounding Justin Langer's resignation as head coach. Adding that Langer's coaching style was ""intense"", Cummins said players need a new style of coaching and skill set. Reacting to ex-cricketers criticising his silence, Cummins said, ""Just as you have always stuck up for your mates, I'm sticking up for mine.""",sports
"Referee gets hit on face with ice hockey stick during Beijing Olympics, video viral","A referee was unintentionally hit across her face with an ice hockey stick by a player during a match between the US and Canada at the Winter Olympics. A video of the incident has been widely circulated on social media. While blood gushed out of her injury, she returned to the rink to officiate the match after receiving medical help.",sports
Australia announce 18-member Test squad for historic tour of Pakistan,"Australia have announced their 18-member squad for their historic three-match Test series in Pakistan, which will begin on March 4 in Rawalpindi. It will be Australian men's cricket team's first visit to Pakistan in nearly 25 years. Mitchell Marsh, Josh Inglis and Mitchell Swepson have been included in the squad.",sports
Missed camera on Novak's face at Aus Open when Nadal won 21st Slam: Castle,"Referring to Rafael Nadal's record-breaking 21st Grand Slam singles title at Australian Open 2022, ex-British number one Andrew Castle said, ""Only camera we were missing...in Australia was...on Novak Djokovic's face on match point when Nadal made it to number 21."" The world number five moved past Roger Federer and Djokovic, who are both on 20 Grand Slams each.",sports
Leicester fan charged with assault for attacking Nottingham Forest players,"Nottinghamshire Police on Monday said a Leicester City fan was arrested and charged with multiple counts of assault after running onto the pitch and attacking Nottingham Forest players during their FA Cup match on Sunday. Cameron Toner, 19, attacked Forest players as they celebrated scoring their third goal in the game. Leicester condemned the attack, giving Toner a lifetime ban.",sports
"8 players including Anderson, Broad dropped from Eng Test squad for WI tour","England have dropped as many as eight players, including James Anderson and Stuart Broad, from their Test squad for their upcoming tour of West Indies. Apart from the pacers, Jos Buttler, Rory Burns, Haseeb Hameed, Dawid Malan, Sam Billings and Dom Bess have missed out. Uncapped pacers Saqib Mahmood and Matthew Fisher have been included in the 16-member squad. ",sports
"Had booster dose before coming to Russia, you should be proud: Kvitova","Talking about her COVID vaccination status after winning the first round in St Petersburg, two-time Wimbledon champion Petra Kvitova said tournament organisers should be ""proud"" of her for getting a booster dose of vaccine before coming to Russia. Sixth-seeded Kvitova beat unseeded Jule Niemeier of Germany 6-2, 6-1 at St Petersburg Ladies Trophy on Tuesday.",sports
Rafael Nadal to play Indian Wells Masters tournament in March,"21-time Grand Slam winner Rafael Nadal confirmed his participation in the ATP Masters 1000 tournament, BNP Paribas Open, also known as Indian Wells Masters. “The fans are really great and knowledgeable about tennis, and they really make me feel special when playing and everywhere I go,” he said. Nadal has won the tournament three times, his last win in 2013. ",sports
A strong message to team: Vaughan on Eng dropping 8 players for WI Tests,"Ex-England captain Michael Vaughan has said the selection for the Test squad for their upcoming tour of West Indies has sent a strong message to the team. Eight players from their Ashes squad, including James Anderson, Stuart Broad, have been dropped. ""Sometimes high-class senior bowlers can be an issue in the side...you sometimes need to move forward,"" Vaughan stated. ",sports
"Retained players form the base, we need more match-winners: DC's Saba Karim ","DC's Head of Talent Search Saba Karim has said they'll be looking for some match-winners in the upcoming IPL mega auction. ""[Our] retained players form the base...we need some more match-winners, who can fill up the vacant slots, and overall we can have a complete side,"" he stated. DC have retained Rishabh Pant, Axar Patel, Prithvi Shaw and Anrich Nortje.",sports
He'll definitely walk into the team for 2nd ODI: Karthik on KL Rahul,"Ahead of India-West Indies second ODI, veteran India wicketkeeper-batter Dinesh Karthik said KL Rahul will ""definitely"" be included in the squad after missing first ODI. ""If he does come in...I see him opening the innings,"" he added. India limited-overs vice-captain was reportedly not part of the first ODI due to a family engagement. Second ODI will be played on Wednesday.",sports
Germany’s Niklas Süle joins Borussia Dortmund from Bayern Munich,"Borussia Dortmund on Monday confirmed the signing of German international Niklas Süle from Bayern Munich. The defender joins Dortmund on a free transfer, as his contract with Bayern Munich expires at the end of the current season in June. Dortmund added Süle, 26, has signed a four-year contract with the club. Süle joined Bayern Munich in 2017 from Hoffenheim.",sports
Dhawan will get a decent amount: Ashwin ahead of IPL mega auction,"Ahead of IPL mega auction 2022, Ravichandran Ashwin said his ex-DC teammate Shikhar Dhawan will fetch a ""decent"" amount, adding he'll ""surely"" score 450-500 runs as well. ""So, you might ask who will need Dhawan? Except for RR, every single team will need Dhawan."" Notably, both Ashwin and Dhawan were released from DC. Dhawan was DC's leading-scorer in IPL 2021.",sports
Over 31 million Americans estimated to bet $7.6 billion on Super Bowl,"The American Gaming Association (AGA) on Tuesday said an estimated 31.5 million Americans will bet around $7.6 billion on the National Football League’s (NFL) championship game, Super Bowl LVI this Sunday. “Americans have never been more interested in legal sports wagering,” said AGA President and CEO Bill Miller. Thirty US states, plus Washington DC, offer legal betting.",sports
CSK should be ready to spend a lot more for Plessis: Ashwin on IPL auction,"Indian spinner Ravichandran Ashwin has said CSK should be ready to spend a lot more than they did last time if they want to retain Faf du Plessis for IPL 2022. ""Last time...CSK stole Plessis for ₹1.5 crore. But this time, I don't see that type of steal happening for him,"" he stated. Plessis scored 633 runs last season. ",sports
"Have been bowling regularly in the nets, always available: Suryakumar","Responding to a query about India's sixth bowling option, Suryakumar Yadav said he is ready to fill in as the bowling option, adding that he has been bowling regularly in the nets and is always available. ""I'm really flexible, wherever the team management wants me to bat. Really happy with the way things are going right now,"" stated Suryakumar.",sports
India Women suffer 18-run defeat against NZ in one-off T20I,India Women suffered an 18-run defeat against host New Zealand in the one-off T20I ahead of their five-match ODI series. The New Zealand openers Suzie Bates and Sophie Devine added 60 runs for the opening wicket to help their team post 155/5 in 20 overs. India's middle-order batter Sabbhineni Meghana top-scored for the team with her 37 off 30 balls.,sports
You have to be a special player to make it to Indian team: De Villiers,"Ex-South Africa wicketkeeper-batter AB de Villiers, who scored 20,014 runs in 420 international matches, said one needs to be a special player to make it to Indian team as it's tough. ""Obviously growing up in India would have been interesting. Maybe I would've never played for India,"" he added. De Villiers retired from all forms of cricket after IPL 2021.",sports
"Fans chant 'that's how your cat feels' after Zouma, who kicked cat, gets hurt","West Ham United defender Kurt Zouma, who was filmed kicking and slapping his cat across his kitchen floor, was booed by fans during their 1-0 win against Watford in Premier League. Fans also chanted 'that's how your cat feels' after the defender was hurt in a tackle and was seen limping on the field. Zouma has apologised over the incident.",sports
Pak announce squad for Australia Tests; Shaun Tait named fast bowling coach,"Pakistan Cricket Board (PCB) on Wednesday announced a 16-member squad for the upcoming historic home Test series against Australia, which will begin on March 4 in Rawalpindi. Haris Rauf, who's yet to make his Test debut, has been included in the squad along with Shan Masood. PCB has also named ex-Australia pacer Shaun Tait as the team's fast bowling coach. ",sports
"Half a million people have died since Omicron was detected, it's beyond tragic: WHO","WHO's incident manager Dr Abdirahman Mahamud said that everyone was saying Omicron COVID-19 variant is milder but ""half a million people have died since this was detected"". ""In the age of effective vaccines, half a million people dying, it's really something...It's beyond tragic,"" he added. Omicron makes ""previous peaks look almost flat"", Maria Van Kerkhove, WHO's COVID-19 Technical Lead, said.",world
"Referee gets hit on face with ice hockey stick during Beijing Olympics, video viral","A referee was unintentionally hit across her face with an ice hockey stick by a player during a match between the US and Canada at the Winter Olympics. A video of the incident has been widely circulated on social media. While blood gushed out of her injury, she returned to the rink to officiate the match after receiving medical help.",world
"Malala tweets on hijab ban in Karnataka college, says 'Stop marginalisation of Muslim women'","Nobel Peace Prize winner Malala Yousafzai on Tuesday tweeted on the issue of hijab ban in Karnataka college. She wrote, ""Refusing to let girls go to school in their hijabs is horrifying. Objectification of women persists - for wearing less or more."" She added, ""Indian leaders must stop the marginalisation of Muslim women.""",world
Kamala Harris' husband evacuated from school event after bomb threat,"US Vice President Kamala Harris' husband, Doug Emhoff, is safe after being evacuated from a high school in Washington DC on Tuesday by Secret Service agents following a bomb threat, his spokesperson said. The threat was made via a phone call, which authorities were tracing, police said. Emhoff was at Dunbar High School to help commemorate Black History Month. ",world
Putin agreed not to escalate Ukraine crisis: French Prez,"French President Emmanuel Macron on Tuesday said Russian President Vladimir Putin had told him that he would not further escalate the Ukraine crisis during their meeting in Moscow on Monday. Notably, Macron's announcement came after a Russian spokesman denied reports that Putin had assured the French President of not escalating the crisis. Macron met with the Ukrainian President on Tuesday.",world
Advisory issued for Indians in Canada and those travelling amid truckers' protest,"The High Commission of India in Ottawa has issued an advisory for Indian citizens in Canada and those who are planning to travel there to ""exercise a high degree of caution and remain alert"". This comes amid protests by truckers in Ottawa and other cities against COVID-19 vaccine mandates. Special helpline (6137443751) for distressed Indian citizens in Canada was released.",world
"Philippines logs over 3,500 new COVID-19 cases in last 24 hours","The Philippines' Department of Health reported 3,574 new daily COVID-19 cases on Tuesday. The officials added that the country recorded 83 deaths taking the total death toll to 54,621. Meanwhile, President Rodrigo Duterte urged residents to get vaccinated as the country is still not ""over the hump"". The Southeast Asian nation has so far reported over 36 lakh cases.",world
"Indonesia reports over 37,000 new COVID-19 cases in last 24 hours","Indonesian Health Ministry on Tuesday said the country reported 37,492 new daily COVID-19 cases in last 24 hours taking the total tally to over 45 lakh. The ministry added that 83 new deaths were recorded in the period. Meanwhile, Indonesia has administered over 32.5 crore COVID-19 vaccine doses including the booster dose since it started mass vaccinations in last January.",world
Hong Kong sees first potential COVID-19 death in 5 months,"Hong Kong reported its first potential death linked to COVID-19 in five months as a 73-year-old man suffering from chronic illness died on Tuesday. The hospital authorities said the man had tested positive for COVID-19 in screening during his admission. The death, however, has not yet been officially classified as a COVID-19 casualty pending additional tests.",world
"Mudslide in Colombia kills at least 14, injures 35","At least 14 people were killed and 35 injured after heavy rains triggered a mudslide in Colombia's Risaralda province, said authorities. Several houses were reportedly buried in the incident. Pereira Mayor Carlos Maya urged the people to leave the area as the risk of landslides persisted. Over 60 houses were evacuated as the authorities carried out a damage assessment.",world
Police arrest 13 in Belgium during anti-terror operation,"The police in Belgium on Tuesday detained 13 people for alleged links to a terror group during raids in and around the port city of Antwerp. About 100 police officers were involved in the operation. The police operation was not aimed at stopping an imminent threat of attack, according to the federal prosecutor's office.",world
Year-long battle over Yemeni city left 1 lakh displaced: Oxfam report,"International Charity Group, Oxfam on Tuesday said a year-long battle over city of Marib in Yemen has displaced one lakh people. Oxfam said at least 43 airstrikes hit civilian targets including houses and farms in January. Land mines killed eight in January alone, Oxfam added. Marib has seen multiple attacks by Saudi-backed forces and Iran-backed Houthi rebels since last February.",world
UK to bring law mandating porn sites to verify users’ age,"The UK government is planning to make it mandatory for porn websites to verify users' age and ensure only those aged 18 or above can visit. It will be part of the Online Safety Bill which the government will bring in the coming months. The defaulters could be fined up to 10% of their annual sales, said the government.",world
Israel strikes Syria in response to anti-aircraft fire,"The Israel Defense Forces (IDF) ""struck surface-to-air missile targets in Syria, including radar & anti-aircraft batteries"" on Wednesday after an anti-aircraft missile was fired towards Israel. The anti-aircraft missile triggered sirens in parts of Israel and occupied West Bank, and exploded in mid-air, IDF added. Syrian state news agency SANA claimed Syrian forces shot down some Israeli missiles.",world
"Italy makes protecting environment, biodiversity part of Constitution","Italy passed a law making environment protection a part of the Constitution on Tuesday. According to the law, the state must safeguard the environment, biodiversity and the ecosystem in the interest of future generations. No economic initiative should be taken at the cost of the environment, as per the new law. The environmental activists reportedly welcomed the decision.",world
Truckers block busiest US-Canada land crossing in COVID-19 protest,"Canadian truckers on Monday blocked lanes on Ambassador Bridge, the busiest US-Canada land crossing, in protest against Canada’s COVID-19 vaccine mandate for cross-border traffic and restrictions. Truck drivers, part of the ""Freedom Convoy"" began protesting by blocking streets in Canada’s capital Ottawa, from January 28. Canada’s Border Services Agency said the bridge will remain shut on Tuesday. ",world
Will not abandon Palestinian support for closer ties with Israel: Turkey,"Turkish Foreign Minister Mevlüt Çavuşoğlu on Tuesday said that Turkey will not turn its back on its commitment to a Palestinian state in order to broker closer ties with Israel. Notably, the remark comes ahead of an expected visit by the Israeli President to Turkey in March. Turkey has condemned Israel's occupation of West Bank and its policy towards Palestinians.",world
Iran reports over 100 COVID-19 deaths in a day amid Omicron surge,"Iran on Monday reported 104 COVID-19 related deaths in the past 24 hours, as the Omicron variant continues to spread across the country. Iran's official death count now stands at 1,32,934, making it the country with the highest national death toll in the Middle East. Around 80% of people aged 18 and older are fully vaccinated. ",world
UN demands release of 4 Afghan women activists and their relatives,"The UN human rights office on Tuesday called for the immediate release of four women activists and their relatives who were detained or abducted in Afghanistan after last month's protest over women's rights. The women had reportedly taken part in the protest, it said. ""We're gravely concerned for the safety of the disappeared women and their family members,"" it added.",world
Biden will soon engage with French Prez Macron over Russia: US,"US President Joe Biden will ""soon"" engage with his French counterpart Emmanuel Macron over ""the possible threat of a Russian invasion into Ukraine"", White House Press Secretary Jen Psaki said. Macron this week met Russian President Vladimir Putin, becoming the first leader of a major Western power to meet him after Russia massed troops along its border with Ukraine. ",world
We're not looking to rename Taiwan's de facto embassy: Australia,"Australian Foreign Minister Marise Payne said that Australia is not looking at renaming Taiwan's de facto embassy in the country. ""Australia remains committed to our one-China policy,"" Payne added. The minister's comments come after China downgraded ties with Lithuania after it allowed Taiwan to open a Representative Office in the capital Vilnius bearing its own name instead of Chinese Taipei.",world
Malaysian COVID-19 panel recommends reopening borders in March,"Malaysia’s COVID-19 recovery council on Tuesday recommended reopening its borders for travellers without quarantine requirements from March 1 to boost economic recovery. Currently, a bilateral agreement with Singapore allows people to enter quarantine-free. Around 98% of Malaysia’s adult population is fully vaccinated, and 89% of 12 to 17-year-olds are also vaccinated.",world
UAE says new blast was gas explosion as US warns of possible drone strike,"A blast that took place in the UAE's capital Abu Dhabi early on Wednesday was due to a gas explosion, authorities said, as the US embassy issued a warning of ""reports of a possible missile or drone strike"". The embassy also warned American citizens to stay vigilant. Yemen's Houthi rebels have launched several attacks targeting Abu Dhabi in recent weeks. ",world
Talks to revive 2015 Iran nuclear deal resume in Vienna,"Talks between Iran and the world powers to revive the 2015 nuclear deal have resumed in Vienna, Austria after a 10-day break. Officials said that the talks are reaching their final stage, though it's unclear how long that might take. The US has participated indirectly in the talks because it withdrew from the accord in 2018. ",world
Suspect who killed 1 man in US grocery store shooting arrested,"A suspect who on Monday opened fire in a US grocery store in Washington state, killing one man, Justin Krumbah, 38, and critically injuring another victim has been arrested. Aaron Christopher Kelly, 39, was arrested by police 241 km from the shooting incident. A $1 million arrest warrant had initially been issued nationwide for the suspect.",world
"Cong promises 20 lakh jobs; electricity bills, farmers loans waiver in UP polls manifesto","Congress General Secretary Priyanka Gandhi Vadra on Wednesday launched the party's manifesto for the upcoming Uttar Pradesh Assembly polls. ""We will provide 20 lakh government jobs,"" she said. ""Farmers' loans will be waived off within 10 days of coming to power,"" she added. ""Electricity bills will be waived off, COVID-19-affected families will be given ₹25,000,"" Priyanka further said.",politics
"Rahul Gandhi misled, Channi not poor, his bank balance more than us: Sidhu's wife","Punjab Congress President Navjot Singh Sidhu's wife Navjot Kaur said that Rahul Gandhi was ""misled"" to consider CM Charanjit Singh Channi as poor. His bank balance is more than us, Kaur added. Notably, when Rahul declared Channi as Congress' CM candidate for Punjab polls, he had said the people of Punjab wanted a CM who comes from a poor family.",politics
I pray that sisters fighting for right to wear hijab are successful: Owaisi,"Amid the hijab controversy in Karnataka, AIMIM chief Asaduddin Owaisi said that he is praying that ""sisters fighting for their right to wear hijab are successful"". ""(A) grave violation of the Constitution's Article 15, 19 and 21 are being committed in Karnataka,"" he said in UP. Meanwhile, schools and colleges were shut in Karnataka for three days. ",politics
ED officials admitted their bosses asked to fix me: Raut to Venkaiah Naidu,"Shiv Sena MP Sanjay Raut wrote to Rajya Sabha Chairman and Vice President Venkaiah Naidu claiming that Enforcement Directorate (ED) and other investigating agency officials admitted that they have been ""asked by their bosses"" to ""fix"" him. Raut added that ED has been harassing him and his family after he refused to help ""certain people"" in toppling the Maharashtra government.",politics
5 remaining Congress MLAs in Meghalaya join BJP-backed MDA govt,"The remaining five Congress MLAs in Meghalaya on Tuesday joined the BJP-backed Meghalaya Democratic Alliance (MDA) government, led by CM Conrad Sangma. ""We were ditched and nobody took any action,"" said MLA Ampareen Lyngdoh. In November 2021, 12 Congress MLAs had joined TMC. Welcoming them, Sangma said, ""Joining of Congress MLAs won't affect the relationship with our coalition partners.""",politics
"Bikini, ghoonghat or hijab, it's woman's right to decide what she wants to wear: Priyanka ","Congress leader Priyanka Gandhi Vadra on Wednesday tweeted, ""Whether it is a bikini, a ghoonghat, a pair of jeans or a hijab, it is a woman's right to decide what she wants to wear."" She added, ""This right is guaranteed by the Indian constitution. Stop harassing women."" Notably, Karnataka High Court is hearing the issue of hijab ban in colleges.",politics
"Kangana should be respectful towards leaders, she's too harsh: Manoj Tiwari","Delhi BJP MP Manoj Tiwari said Kangana Ranaut should be ""respectful"" towards leaders even if she has issues with them. Speaking about her reaction against the Maharashtra government, Tiwari said, ""When she used to talk about Sushant (Singh Rajput), she was right. But...her attitude towards the Maharashtra government has been harsh. It's not correct...Criticise by all means, but with respect.""",politics
Writ petition in Calcutta HC seeks West Bengal Governor's removal,"A writ petition filed in the Calcutta High Court by Advocate Ramaprashad Sarkar seeks removal of West Bengal Governor Jagdeep Dhankhar from his position. The petition, which will be heard on February 11, said Dhankhar was interfering in Chief Minister Mamata Banerjee-led government's functioning. Banerjee recently also blocked Dhankhar on Twitter saying she was disturbed by the latter's posts.",politics
"Vote for SP, don't trust BJP's false promises: Mamata to UP voters ","Trinamool Congress chief Mamata Banerjee on Tuesday urged people to vote for the SP and defeat the BJP in the Uttar Pradesh elections. ""Don't fall for the false promises by the BJP,"" she said while addressing the media in Lucknow. ""History will never forgive those responsible for Hathras, Unnao incidents, and the bodies dumped in Ganga...during COVID-19,"" Banerjee added. ",politics
"Goa TMC seeks action against Shah, Priyanka for flouting COVID norms","The Trinamool Congress' Goa unit wrote to the Election Commission demanding strict action against Amit Shah, Priyanka Gandhi Vadra, Goa CM Pramod Sawant and many others for flouting COVID-19 norms during their poll campaign. In his letter, TMC MP Derek O'Brien alleged that the BJP leaders did not follow COVID-19 guidelines during their poll campaign in Sanvordem constituency.",politics
